mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS,75028771,0,3,457387200,2249,15,0.7000000000000001,24.786947899999998,120.9933296,91.35000000000001,0.013601471669971943,143.97262573242188,0.013000000268220901,0.0,1
GPS,75228811,0,3,457387400,2249,15,0.7000000000000001,24.7869478,120.9933295,91.36,0.024413112550973892,304.9920349121094,0.006000000052154064,0.0,1
GPS,75428781,0,3,457387600,2249,15,0.7000000000000001,24.7869478,120.9933295,91.37,0.026305893436074257,171.2538299560547,0.005000000353902578,0.0,1
GPS,75628749,0,3,457387800,2249,15,0.7000000000000001,24.7869477,120.9933294,91.38,0.0126491105183959,18.434947967529297,-0.03400000184774399,0.0,1
GPS,75828772,0,3,457388000,2249,15,0.7000000000000001,24.7869477,120.9933294,91.38,0.012369317002594471,75.96375274658203,0.052000001072883606,0.0,1
GPS,76028798,0,3,457388200,2249,15,0.7000000000000001,24.7869477,120.9933294,91.38,0.013152946718037128,8.746161460876465,0.05000000074505806,0.0,1
GPS,76228763,0,3,457388400,2249,15,0.7000000000000001,24.786947599999998,120.9933293,91.38,0.02906888537108898,139.18490600585938,0.11100000888109207,0.0,1
GPS,76428749,0,3,457388600,2249,15,0.7000000000000001,24.7869475,120.9933293,91.38,0.019924860447645187,162.47442626953125,-0.023000001907348633,0.0,1
GPS,76628790,0,3,457388800,2249,15,0.7000000000000001,24.7869475,120.9933293,91.4,0.038897302001714706,17.96913719177246,0.030000001192092896,0.0,1
GPS,76828791,0,3,457389000,2249,15,0.7000000000000001,24.7869475,120.9933293,91.41,0.005099019967019558,191.3099365234375,0.017000000923871994,0.0,1
GPS,77028789,0,3,457389200,2249,15,0.7000000000000001,24.7869475,120.99332919999999,91.41,0.00806225836277008,299.744873046875,-0.007000000216066837,0.0,1
GPS,77228768,0,3,457389400,2249,15,0.7000000000000001,24.7869474,120.99332919999999,91.42,0.01303840521723032,32.471187591552734,0.0430000014603138,0.0,1
GPS,77428758,0,3,457389600,2249,15,0.7000000000000001,24.7869474,120.99332919999999,91.43,0.008544004522264004,290.5560607910156,0.03100000135600567,0.0,1
GPS,77628760,0,3,457389800,2249,15,0.7000000000000001,24.7869474,120.9933291,91.43,0.012165524996817112,279.46234130859375,0.05700000375509262,0.0,1
GPS,77828781,0,3,457390000,2249,15,0.7000000000000001,24.786947299999998,120.9933291,91.43,0.010816654190421104,56.309932708740234,-0.013000000268220901,0.0,1
GPS,78028663,0,3,457390200,2249,15,0.7000000000000001,24.786947299999998,120.9933291,91.44,0.006000000052154064,90.0,0.030000001192092896,0.0,1
GPS,78228746,0,3,457390400,2249,15,0.7000000000000001,24.786947299999998,120.9933291,91.45,0.0430116280913353,358.66778564453125,-0.005000000353902578,0.0,1
