date,Distance,Angle,Motion,Velocity,RSSI
1,9.28054529352404,0.115551924086594,0,-0.0208138514999252,176
2,9.27252485064664,0.118910066146271,0,-0.0195618841559639,176
3,9.25359546500714,0.12242024685763,0,-0.0189293856394936,176
4,9.24754783522031,0.126860022668086,0,-0.00604762978683127,176
5,9.15913740739729,0.135800947883906,0,-0.00863270761417567,178
6,9.12720446053973,0.136279026708922,0,-0.0201101404433963,178
7,9.11675803844787,0.136436157437949,0,-0.0104464220918636,178
8,9.10712639033801,0.137689802849198,0,-0.00963164810985973,178
9,9.08790629647861,0.140205053726039,0,-0.0192200938593992,177
10,9.09072279049227,0.14238351228773,0,-0.0081767214334505,176
11,9.08259636185043,0.144736697842108,0,-0.00812642864183744,175
12,9.07362732297945,0.145994629780237,0,-0.00896903887097977,177
13,9.07625530230296,0.147065762512584,0,0.00262797932351333,177
14,9.66331084302656,0.215885334749344,1,0.596562765638449,177
15,9.71246249680087,0.217938195704265,0,0.0259801634042862,177
16,9.72329638362245,0.217691452386694,0,0.0216671273230844,177
17,9.74626277106076,0.217170247882129,0,0.00996960292017413,177
18,9.76899682759616,0.208279208932611,0,-0.0142424333473965,178
19,9.76307731750118,0.210501658964837,0,-0.00591951009497826,178
20,9.78742884858707,0.221475724512958,0,-0.00644498726545528,178
21,9.80265090231192,0.223217759465167,0,0.00440796224370388,178
22,9.80933558976329,0.226200198871048,0,0.00668468745137041,178
23,9.82764201377791,0.229949681945224,0,0.00603173402553914,178
24,9.84225920459498,0.231689366584119,0,0.0168916516241087,178
25,9.87002160382752,0.234149422837997,0,0.0277623992325449,178
26,9.89949059222477,0.23759476619135,0,0.0271440393518318,178
27,9.91596825392042,0.240306113734156,0,0.0164776616956548,178
28,9.94641033704031,0.243698083192163,0,0.0304420831198939,178
29,9.97503361424878,0.247118179924442,0,0.0286232772084674,179
30,10.0045432944787,0.250498960500875,0,0.0295096802298964,171
31,10.0273484509038,0.250946455561415,0,0.0228051564251004,169
32,10.064578099543,0.252049774472161,0,0.0391236591759441,169
33,10.0817113590251,0.254685796470777,0,0.0171332594821259,168
34,10.1026499919981,0.254146258294775,0,0.020938632973019,171
35,10.1598285178351,0.254718247191962,0,0.0153768865000554,182
36,10.1793278573721,0.253204640048211,0,0.0194993395370133,183
37,10.2139663553594,0.257385876261706,0,0.0346384979872951,184
38,9.69441344196129,0.266169837907812,0,-0.0145903736922204,176
39,9.67136784978639,0.261463901825858,0,-0.0230455921748991,176
40,9.65856387284786,0.256463072296717,0,-0.0128039769385317,176
41,9.65099767308447,0.253456249487765,0,-0.00503443570026896,176
42,9.64495598301032,0.250406618779654,0,-0.00604169007415045,176
43,9.62829726603587,0.247634015153489,0,-0.0141856047918782,176
44,9.62417173242699,0.24559942530864,0,-0.00337929435669793,176
45,9.61985364120267,0.247855931636772,0,0.00399559175318309,176
46,9.59346730485733,0.246401756313633,0,-0.0256076580239704,176
47,9.57032495167378,0.245932536575112,0,-0.0231423531835535,176
48,9.56363851253391,0.247186296361238,0,-0.00668643913986955,176
49,9.54884317798108,0.245417532874301,0,-0.0147953345528276,176
50,9.52818998467798,0.245960477753342,0,-0.0206531933031027,176
51,9.52073937931166,0.247240072213183,0,-0.00745060536632103,177
52,9.51825632049519,0.250557999230156,0,-0.00248305881646083,177
53,9.52410703937989,0.252568914754637,0,0.0058507188846928,177
54,9.52093375421865,0.255910574020611,0,-0.00317328516123894,177
55,9.51364319409293,0.257197804664777,0,-0.00817359102832072,177
56,9.51061859431484,0.260544587530655,0,-0.00302459977809555,177
57,9.48022742888037,0.262491431216452,0,-0.0278200071880388,177
58,9.35874554331678,0.281518832437066,-1,-0.121481885563593,177
59,8.97887737254216,0.321824476290866,-1,-0.296370484511629,178
60,9.50093401454052,0.382938208268239,1,0.522056641998358,172
61,10.0035629428025,0.43879466697599,1,0.636462084121186,178
62,10.5815403980538,0.51155268026902,1,0.4790468805554,174
63,10.6493717022524,0.51551942030315,1,0.118581779313402,175
64,10.8598950273576,0.550396616829187,1,0.184666473922141,178
65,11.028432022436,0.578499931531727,1,0.189404390529838,178
66,11.3335093982462,0.623781367664028,1,0.108196912266394,174
67,11.385739572747,0.626976283650372,1,0.0517167637777494,170
68,11.4074153312361,0.621281314742029,0,0.024791042769877,167
69,11.4303520444384,0.615552911216162,0,0.0229367132022613,162
70,11.2958088149536,0.620733098172837,-1,-0.0906747850507461,165
71,11.2682686161587,0.622481727021587,-1,-0.051418427604748,166
72,11.259040814642,0.620884376086981,0,-0.00922780151667091,165
73,11.2941859949008,0.618660448014962,0,0.0404481259074334,166
74,11.3108597305973,0.617611419439919,0,0.0247212238188954,166
75,11.2398955979702,0.612284481692628,-1,-0.0709641326270649,171
76,11.2461336719576,0.607556396725499,0,0.00623807398734932,172
77,11.3393475833284,0.612590689448051,1,0.0721939250748047,172
78,11.3261653661408,0.617734523167781,0,-0.00743528041173747,174
79,11.2952847858073,0.616419487654128,0,-0.0308805803335446,174
80,11.3720078179357,0.619185969969545,1,0.0767230321284593,175
81,11.364688539678,0.6272317206646,0,-0.00731927825774825,174
82,11.303931292308,0.631133407305505,-1,-0.0607572473699545,171
83,11.2532220694695,0.621254259382514,-1,-0.0507092228384884,172
84,11.2580148848687,0.617676999321599,0,-0.00369049341751904,174
85,11.245480380329,0.610849762234734,0,-0.0125345045397012,174
86,11.1064093316996,0.598784074181832,-1,-0.13907104862944,176
87,11.0245489528275,0.590695593100112,-1,-0.0818603788720935,180
88,11.067772197453,0.594609117404436,0,0.0432232446255014,180
